citing_year,cited_year,p1.cluster,p2.cluster,citation_count
2019,1980,2,2,3
2019,2006,2,5,3
2019,2006,2,2,1
2019,2016,2,1,1
2019,2015,2,2,1
2019,2008,2,3,1
2019,2014,2,3,4
2019,2000,2,5,4
2019,2003,2,2,3
2019,2014,2,2,12
2019,2005,2,2,12
2019,2014,2,7,14
2019,2016,2,2,3
2019,2013,2,2,12
2019,2008,2,5,2
2019,2012,2,2,9
2019,2017,2,3,3
2019,2017,2,0,1
2019,2017,2,2,1
2019,2009,2,2,7
2019,1999,2,2,4
2019,2016,2,4,1
2018,1979,3,0,1
2018,2014,3,2,1
2018,2013,3,2,2
2011,2006,2,0,1
2018,2012,1,2,1
2018,2009,1,2,1
2018,2016,2,1,3
2018,2011,2,6,2
2018,2015,2,6,3
2018,2011,2,5,3
2018,2015,2,3,1
2018,2017,5,4,1
2018,2014,5,3,1
2018,2014,5,7,1
2018,2013,5,2,1
2020,2006,2,2,1
2020,2016,2,1,3
2020,2018,2,1,2
2020,2005,2,2,8
2020,2011,2,6,2
2020,2014,2,3,1
2020,2014,2,2,3
2020,2002,2,2,5
2020,2007,2,2,3
2020,2010,2,2,1
2020,2016,2,3,2
2020,2017,2,2,1
2020,2011,2,2,1
2018,1980,1,2,1
2018,2006,1,5,1
2018,2005,1,2,1
2018,2014,1,4,1
2018,2008,1,2,1
2018,2008,1,7,1
2018,2015,6,6,1
2018,2016,6,2,1
2018,2012,6,2,1
2018,2017,6,2,2
2018,2017,6,6,1
2018,1999,6,2,1
2018,2005,3,2,2
2018,2016,3,0,1
2018,2017,3,3,1
2018,2018,3,2,1
2018,2009,3,2,1
2018,2006,2,5,1
2018,1979,2,6,1
2018,2012,2,2,1
2018,2010,2,3,1
2018,2017,2,3,1
2018,2018,2,6,1
2020,2016,2,2,1
2020,2006,2,0,1
2020,2009,2,2,4
2020,2012,2,3,1
2015,2014,1,7,1
2018,1979,0,0,1
2018,2012,0,0,1
2018,2018,0,0,1
2019,2006,5,5,1
2019,2012,5,4,1
2019,2011,5,6,2
2019,2013,5,0,1
2019,2014,5,3,1
2019,1979,5,0,3
2019,2014,5,2,1
2019,2014,5,7,5
2019,2013,5,2,3
2019,2017,5,2,1
2019,2011,5,2,2
2019,2011,5,5,2
2019,2009,5,2,1
2019,2015,5,2,1
2019,1995,1,0,1
2019,2015,1,6,1
2019,1986,2,4,1
2019,1979,2,0,6
2019,2007,2,2,10
2019,2002,2,2,12
2019,2017,3,4,2
2019,2014,3,7,5
2019,2013,3,2,2
2019,2018,3,6,4
2019,2016,3,4,1
2020,2014,0,7,5
2020,2013,0,0,2
2020,2011,0,5,1
2019,2013,2,0,3
2019,1992,2,3,1
2019,2008,2,2,2
2019,2006,2,0,1
2019,2010,2,2,4
2019,2015,2,0,2
2019,2011,2,5,4
2019,2013,1,2,3
2018,2013,4,2,1
2018,2009,4,2,1
2018,2017,4,2,1
2018,1999,4,2,1
2019,2014,6,2,1
2019,2008,6,3,1
2019,2006,6,2,1
2019,2005,6,2,1
2019,2014,6,7,1
2019,2018,6,7,1
2019,2018,6,2,2
2019,2017,5,3,1
2019,2010,3,2,1
2019,2012,3,2,1
2019,2006,3,5,2
2019,2018,3,0,1
2019,2014,1,2,1
2019,2018,1,7,3
2019,2016,2,6,1
2019,2011,2,6,1
2019,2015,2,6,3
2019,2017,2,6,1
2019,2020,2,2,1
2019,2012,3,4,1
2019,1979,3,0,1
2019,2002,3,2,1
2019,2014,3,0,1
2019,2011,3,2,1
2019,2011,3,5,1
2019,1999,3,2,1
2019,2016,3,2,1
2019,2019,3,2,1
2019,2013,4,2,1
2019,2006,7,5,1
2019,2018,7,1,1
2019,2014,7,7,2
2019,2009,7,2,2
2019,2007,1,2,2
2019,2017,1,3,1
2019,2012,2,5,1
2019,2011,2,2,5
2020,2012,4,2,1
2019,2009,0,2,1
2017,2018,2,2,1
2019,2018,2,6,3
2019,2018,2,2,3
2019,2014,2,4,1
2019,2017,5,4,2
2019,1984,5,0,1
2019,2012,5,2,1
2019,2016,5,1,1
2019,2015,5,6,1
2019,2019,5,2,1
2019,2002,5,4,1
2019,2016,5,3,1
2019,2002,5,2,1
2020,1979,0,0,2
2020,2018,0,7,1
2020,2020,0,7,1
2020,2021,0,7,1
2020,2011,6,6,1
2020,2017,6,6,2
2020,2017,6,2,3
2020,2018,6,6,4
2020,2019,6,2,1
2020,2019,6,5,2
2020,2013,6,2,3
2020,1999,6,2,1
2020,2014,6,5,1
2020,2011,0,6,3
2018,2007,0,2,1
2018,1984,0,0,1
2018,2002,0,2,1
2018,2013,0,2,1
2020,2019,6,3,1
2020,2019,6,0,1
2020,2018,3,1,1
2020,2014,3,2,1
2020,1979,3,0,1
2020,1996,3,0,1
2020,2014,3,7,2
2020,2013,3,2,2
2020,2020,3,0,1
2020,2010,4,2,1
2020,2011,4,6,1
2020,2015,4,6,2
2020,2013,4,4,1
2020,2014,4,3,1
2020,1979,4,0,2
2020,2014,4,2,1
2020,2014,4,7,3
2020,2016,4,2,2
2020,2013,4,2,2
2020,2011,4,2,1
2020,2018,4,6,1
2020,2017,4,3,1
2020,2017,4,2,1
2020,2009,4,2,1
2020,2002,4,4,1
2024,2013,0,2,1
2020,2014,0,3,1
2020,2002,0,2,1
2020,2008,0,5,1
2020,2006,0,0,1
2020,2017,0,3,1
2020,2002,0,4,1
2017,2018,0,1,1
2017,1996,0,0,1
2017,2014,0,7,1
2020,1997,4,0,1
2020,2011,4,5,1
2020,2017,2,6,1
2020,2002,7,2,1
2020,2019,7,1,1
2020,2019,7,2,2
2020,2015,7,2,1
2020,2016,7,4,2
2020,2011,3,2,1
2020,2016,3,2,1
2020,2018,3,2,1
2020,2019,3,3,1
2020,1999,3,2,1
2020,2019,3,2,2
2020,2013,0,2,1
2020,2012,0,2,1
2020,1999,0,2,1
2020,2019,0,2,1
2020,2019,0,0,1
2020,2017,2,4,1
2020,2011,2,5,1
2020,2015,2,3,1
2020,2006,5,5,1
2020,2003,5,2,1
2020,2014,5,7,3
2020,2013,5,2,1
2020,2018,5,2,1
2020,2019,5,2,1
2020,1999,5,2,1
2020,2016,5,4,1
2020,2011,6,2,1
2020,1990,6,2,1
2020,2009,6,2,1
2020,2012,6,2,1
2020,2020,2,2,2
2020,2015,2,2,1
2009,1998,2,3,1
2015,1979,3,0,1
2015,2019,3,0,1
2019,2006,1,2,1
